source_genesymbol	target_genesymbol	regulation	source
SMAD3	CEBPA	-1	SIGNOR
SMAD3	FOXA1	-1	SIGNOR
SP1	CRX	1	SIGNOR
E2F1	HDAC1	1	SIGNOR
E2F1	TFDP1	1	SIGNOR
TFDP1	E2F1	1	SIGNOR
POU4F1	ESR1	1	SIGNOR
ID3	MYOD1_TCF12	-1	SIGNOR
ID3	MYOD1_TCF4	-1	SIGNOR
RELA	HDAC4	1	SIGNOR
RBPJ	PAX7	1	SIGNOR
RBPJ	GTF2A2	1	SIGNOR
MEF2C	MYOD1	1	SIGNOR
RAD51	SYCP3	1	SIGNOR
FOXF2	TBP	1	SIGNOR
FOXC1	RBPJ	1	SIGNOR
TP53	BAK1	1	SIGNOR
TBX2	MYOD1	-1	SIGNOR
TBX2	MYOG	-1	SIGNOR
USF1	FOSL1	-1	SIGNOR
YY1	AEBP2_EED_EZH2_RBBP4_SUZ12	1	SIGNOR
ZNF76	TBP	-1	SIGNOR
MSX1	LHX2	-1	SIGNOR
LHX2	MSX1	-1	SIGNOR
TBR1	FOXP2	1	SIGNOR
ARNTL	MAGEL2	-1	SIGNOR
NFIB	NFIC	-1	SIGNOR
NFIB	NFIX	-1	SIGNOR
E2F3	TFDP1	1	SIGNOR
CHD2	XRCC4	1	SIGNOR
CUX2	OGG1	1	SIGNOR
DVL1	GSK3B	-1	SIGNOR
DVL1	RHOA	1	SIGNOR
DVL1	PLCB1	1	SIGNOR
DVL2	LRP6	1	SIGNOR
DVL2	RBPJ	-1	SIGNOR
DVL2	PARD6A	1	SIGNOR
DVL2	PLCB1	1	SIGNOR
CHD1	SF3A1_SF3A2_SF3A3	1	SIGNOR
CHD2	H3-3A	1	SIGNOR
KLF4	SRF	-1	SIGNOR
SMAD6	MAP3K7	-1	SIGNOR
SMAD6	NR2C2	-1	SIGNOR
SMAD6	SMAD4	-1	SIGNOR
TLX3	ETS1	-1	SIGNOR
AKAP8	PRKACA	1	SIGNOR
MYC	BRD4	-1	SIGNOR
ARID5B	PHF2	1	SIGNOR
PITX3	MTA1	1	SIGNOR
NCOR1	BCL6	1	SIGNOR
CSDE1	FOS	-1	SIGNOR
WDHD1	CLSPN	1	SIGNOR
RAPGEF3	RAP1B	1	SIGNOR
KLF8	CTBP2	1	SIGNOR
MYC	DNMT3A	1	SIGNOR
ESR1	PIK3R2	1	SIGNOR
ESR1	PIK3R1	1	SIGNOR
ESR1	FOS_JUN	1	SIGNOR
NR3C1	LCK	1	SIGNOR
NR3C1	CEBPB	1	SIGNOR
NR3C1	DUSP1	1	SIGNOR
NR3C1	STAT5A	1	SIGNOR
NR3C1	CAV1	1	SIGNOR
NR3C1	HDAC1	1	SIGNOR
TP53	ETS1	-1	SIGNOR
TP53	NFKB2	1	SIGNOR
JUN	SPI1	1	SIGNOR
SP1	ITGA11	1	SIGNOR
HMGB1	TLR4	1	SIGNOR
HMGB1	HOXD9	1	SIGNOR
HMGB1	HOXD3	1	SIGNOR
HMGB1	HOXD11	1	SIGNOR
HOXB7	PRKDC	1	SIGNOR
SRF	PTGS2	1	SIGNOR
NFX1	PABPC1	1	SIGNOR
SKI	EP300	-1	SIGNOR
SKI	SMAD5	-1	SIGNOR
SKI	SMAD2_SMAD4	-1	SIGNOR
SKI	SMAD3_SMAD4	-1	SIGNOR
SKIL	SMAD5	-1	SIGNOR
SKIL	SMAD2_SMAD4	-1	SIGNOR
SKIL	SMAD3_SMAD4	-1	SIGNOR
GTF2F2	POLR2E	1	SIGNOR
GTF2F2	GTF2F1	1	SIGNOR
ETS1	ITGA11	1	SIGNOR
MYOD1	ACTL6A_ARID1A_ARID1B_ARID2_SMARCA4_SMARCB1_SMARCC1_SMARCC2_SMARCD1_SMARCE1	1	SIGNOR
MYOG	ACTL6A_ARID1A_ARID1B_ARID2_SMARCA4_SMARCB1_SMARCC1_SMARCC2_SMARCD1_SMARCE1	1	SIGNOR
PAX1	MEOX1	1	SIGNOR
PAX1	MEOX2	1	SIGNOR
TCF3	MYOD1	1	SIGNOR
GATA1	RUNX1	1	SIGNOR
GATA1	ZFPM1	1	SIGNOR
HMGA1	POU3F1	1	SIGNOR
HOXB8	PBX1	1	SIGNOR
HOXB8	PBX3	1	SIGNOR
SPI1	TAL1	-1	SIGNOR
SPI1	IRF8	1	SIGNOR
WT1	SRY	1	SIGNOR
WT1	RBM4	-1	SIGNOR
RXRA	CTNNB1	-1	SIGNOR
USF1	JMJD1C	1	SIGNOR
NFYA	SP1	1	SIGNOR
PAX7	KMT2D	1	SIGNOR
PAX7	ASH2L_DPY30_KMT2D_RBBP5_WDR5	1	SIGNOR
PAX3	MEOX1	1	SIGNOR
PAX3	MEOX2	1	SIGNOR
GATA2	SPI1	-1	SIGNOR
GATA2	PPARG	-1	SIGNOR
NR2F2	MYOD1	-1	SIGNOR
YY1	NOTCH1	-1	SIGNOR
HMGB2	POU2F1	1	SIGNOR
HMGB2	POU3F1	1	SIGNOR
ARNT	HIF1A	1	SIGNOR
HOXD9	MEIS1	1	SIGNOR
HOXD10	MEIS1	1	SIGNOR
MSX1	TBP	-1	SIGNOR
MSX1	DLX5	-1	SIGNOR
DLX5	MSX1	-1	SIGNOR
MSX1	DLX2	-1	SIGNOR
DLX2	MSX1	-1	SIGNOR
PCSK6	INSR	1	SIGNOR
HOXA9	MEIS1	1	SIGNOR
HOXD11	MEIS1	1	SIGNOR
TLX1	RB1	-1	SIGNOR
TLX1	ETS1	-1	SIGNOR
